put, point-no_ordering,time-no_ordering,Time-ordering,D=3,D-5,D=2,,Node-no_ordering,Node-ordering,D=3,D=5,,,,
,,,,,,,,,,,,,,,
d3,,,,,,,,,,,,,,,
c5,,,,,,,,,,,,,,,
d6,,,,,,,,,,,,,,,
e7,,,,,,,,,,,,,,,
e6,37357,0.022,0.018,0.023,0.023,0.019,,2839,2087,3007,2839,,,,
f6,,,,,,,,,,,,,,,
e8,40069,0.053,0.025,0.031,0.053,0.027,,7227,2950,4128,7019,,,,
f5,,,,,,,,,,,,,,,
g4,46186,0.103,0.052,0.077,0.083,0.06,,14081,6372,10607,11079,,,,
f4,,,,,,,,,,,,,,,
b6,40278,0.151,0.085,0.095,0.154,0.102,,20784,10254,12747,20823,,,,
f7,,,,,,,,,,,,,,,
g6,42793,0.189,0.059,0.102,0.184,0.078,,25944,6777,13792,25045,,,,
h6,,,,,,,,,,,,,,,
f3,54593,0.182,0.072,0.12,0.174,0.085,,24717,8166,16290,24044,,,,
g5,,,,,,,,,,,,,,,
c7,52826,0.184,0.061,0.103,,,,24965,7083,14268,,,,,
c6,,,,,,,,,,,,,,,
h5,56285,0.083,0.04,0.038,,,,11456,4313,5259,,,,,
h4,,,,,,,,,,,,,,,
d7,66384,0.068,0.036,0.042,,,,9241,3860,5790,,,,,
b5,,,,,,,,,,,,,,,
c4,79230,0.036,0.038,0.037,,,,4609,4056,4915,,,,,
h7,,,,,,,,,,,,,,,
b4,86826,0.028,0.031,0.03,,,,3719,3383,3819,,,,,
f8,,,,,,,,,,,,,,,
g8,81794,0.029,0.029,0.028,,,,3906,3114,3629,,,,,
h3,,,,,,,,,,,,,,,
g7,82261,0.025,0.021,0.02,,,,3303,2220,2552,,,,,
a5,,,,,,,,,,,,,,,
a4,78572,0.063,0.035,0.031,,,,8473,3773,4051,,,,,
g3,,,,,,,,,,,,,,,
g2,91783,0.047,0.052,0.049,,,,6337,5766,6223,,,,,
a6,,,,,,,,,,,,,,,
a7,78610,0.036,0.043,0.037,,,,4762,4760,4860,,,,,
h8,,,,,,,,,,,,,,,
b7,82846,0.037,0.028,0.027,,,,4962,3152,3587,,,,,
e2,,,,,,,,,,,,,,,
e3,82716,0.033,0.025,0.025,,,,4410,2766,3124,,,,,
h2,,,,,,,,,,,,,,,
f1,84288,0.018,0.02,0.022,,,,2436,2392,2827,,,,,
b3,,,,,,,,,,,,,,,
c3,50,3.231,8.183,,,2.385,,11259199,6666720,,,,,,
d8,,,,,,,,,,,,,,,
a3,50,0.22,,,,,,799516,,,,,,,
a8,,,,,,,,,,,,,,,
b8,50,0.023,,,,,,83909,,,,,,,
a2,,,,,,,,,,,,,,,
b2,50,0,,,,,,2676,,,,,,,
f2,,,,,,,,,,,,,,,
d2,50,0,,,,,,212,,,,,,,
e1,,,,,,,,,,,,,,,
d1,52,0,,,,,,19,,,,,,,
c1,,,,,,,,,,,,,,,
g1,52,0,,,,,,4,,,,,,,
h1,,,,,,,,,,,,,,,
b1,52,0,,,,,,2,,,,,,,
c2,,,,,,,,,,,,,,,
a1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mid Search = 8,,,D=5,D=3,"D=2,endD=7","D=none,endD=8",Plist_stat,,D=5,D=3,"D=2,endD=7",,,,
d3,,,,,,,,,,,,,,,
c5,,,,,,,,,,,,,,,
d6,,,,,,,,,,,,,,,
e7,,,,,,,,,,,,,,,
